投资部长
合不拢嘴	l,d
尽管	stopword
尽管如此	stopword
进而	stopword
经	stopword
经过	stopword
竟而	stopword
就	stopword
就是	stopword
就是了	stopword
就是说	stopword
就算	stopword
就要	stopword
具体地说	stopword
具体说来	stopword
据	stopword
据此	stopword
距	stopword
开始	stopword
开外	stopword
看	stopword
靠	stopword
咳	stopword
可	stopword
可见	stopword
可是	stopword
可以	stopword
况且	stopword
啦	stopword
来	stopword
来说	stopword
来着	stopword
来自	stopword
赖以	stopword
啷当	stopword
了	stopword
类如	stopword
离	stopword
哩	stopword
例如	stopword
连	stopword
连同	stopword
两者	stopword
咧	stopword
临	stopword
另	stopword
另外	stopword
另悉	stopword
另一方面	stopword
喽	stopword
论	stopword
吗	stopword
嘛	stopword
漫说	stopword
慢说	stopword
冒	stopword
么	stopword
没奈何	stopword
每	stopword
每当	stopword
们	stopword
莫不然	stopword
莫如	stopword
莫若	stopword
某	stopword
某个	stopword
某某	stopword
某些	stopword
拿	stopword
哪	stopword
哪怕	stopword
哪些	stopword
那	stopword
那般	stopword
那边	stopword
那儿	stopword
那个	stopword
那会儿	stopword
那里	stopword
那么	stopword
那么些	stopword
那么样	stopword
那时	stopword
那些	stopword
那样	stopword
乃	stopword
乃至	stopword
乃至于	stopword
难道说	stopword
呢	stopword
内	stopword
能	stopword
能否	stopword
你	stopword
你们	stopword
您	stopword
宁	stopword
宁可	stopword
宁肯	stopword
宁愿	stopword
喏	stopword
哦	stopword
呕	stopword
啪达	stopword
旁人	stopword
呸	stopword
譬如	stopword
譬喻	stopword
其	stopword
其次	stopword
其二	stopword
其他	stopword
其它	stopword
其一	stopword
其余	stopword
其中	stopword
岂但	stopword
起	stopword
起见	stopword
恰恰相反	stopword
前此	stopword
前后	stopword
前者	stopword
且	stopword
且不说	stopword
且说	stopword
去	stopword
全部	stopword
全体	stopword
却	stopword
然而	stopword
然后	stopword
然则	stopword
让	stopword
任	stopword
任何	stopword
任凭	stopword
仍	stopword
仍旧	stopword
如	stopword
如此	stopword
如果	stopword
如何	stopword
如其	stopword
如若	stopword
如上	stopword
如上所述	stopword
如是	stopword
如同	stopword
如下	stopword
若	stopword
若非	stopword
若夫	stopword
若果	stopword
若是	stopword
啥	stopword
上	stopword
上下	stopword
尚且	stopword
设或	stopword
设若	stopword
设使	stopword
甚而	stopword
甚或	stopword
甚么	stopword
甚且	stopword
甚至	stopword
甚至于	stopword
省得	stopword
时候	stopword
使	stopword
使得	stopword
始而	stopword
似的	stopword
是	stopword
是的	stopword
是以	stopword
首先	stopword
孰料	stopword
孰知	stopword
庶乎	stopword
庶几	stopword
谁	stopword
谁料	stopword
谁人	stopword
谁知	stopword
顺	stopword
顺着	stopword
说来	stopword
虽	stopword
虽然	stopword
虽说	stopword
虽则	stopword
随	stopword
随后	stopword
随时	stopword
随着	stopword
所	stopword
所幸	stopword
所以	stopword
所有	stopword
所在	stopword
他	stopword
他们	stopword
他人	stopword
它	stopword
它们	stopword
她	stopword
她们	stopword
倘	stopword
倘或	stopword
倘然	stopword
倘若	stopword
倘使	stopword
傥然	stopword
腾	stopword
替	stopword
替代	stopword
同	stopword
同时	stopword
哇	stopword
万一	stopword
往	stopword
望	stopword
为	stopword
为此	stopword
为了	stopword
为着	stopword
为止	stopword
唯有	stopword
惟其	stopword
嗡	stopword
嗡嗡	stopword
喔唷	stopword
我	stopword
我们	stopword
乌乎	stopword
呜	stopword
呜呼	stopword
无	stopword
无论	stopword
无宁	stopword
毋宁	stopword
兮	stopword
嘻	stopword
下	stopword
吓	stopword
先不先	stopword
相对而言	stopword
向	stopword
向使	stopword
向着	stopword
像	stopword
些	stopword
嘘	stopword
许多	stopword
呀	stopword
焉	stopword
沿	stopword
沿着	stopword
要	stopword
要不	stopword
要不然	stopword
要不是	stopword
要么	stopword
要是	stopword
也	stopword
也罢	stopword
也好	stopword
一	stopword
一般	stopword
一旦	stopword
一方面	stopword
一何	stopword
一来	stopword
一切	stopword
一些	stopword
一样	stopword
一则	stopword
一转眼	stopword
依	stopword
咦	stopword
已	stopword
已矣	stopword
以	stopword
以便	stopword
以故	stopword
以及	stopword
以来	stopword
以免	stopword
以期	stopword
以上	stopword
以为	stopword
以至	stopword
以至于	stopword
以致	stopword
矣	stopword
矣乎	stopword
矣哉	stopword
亦	stopword
抑或	stopword
因	stopword
因此	stopword
因而	stopword
因了	stopword
因为	stopword
因着	stopword
哟	stopword
用	stopword
用来	stopword
由	stopword
由此	stopword
由此可见	stopword
由是	stopword
由于	stopword
犹且	stopword
犹自	stopword
有	stopword
有的	stopword
有关	stopword
有及	stopword
有时	stopword
有些	stopword
又	stopword
又及	stopword
于	stopword
于是	stopword
于是乎	stopword
欤	stopword
余外	stopword
与	stopword
与此同时	stopword
与否	stopword
与其	stopword
与其说	stopword
越是	stopword
云尔	stopword
云云	stopword
咋	stopword
哉	stopword
再其次	stopword
再说	stopword
再有	stopword
再则	stopword
再者	stopword
再者说	stopword
在	stopword
在下	stopword
在于	stopword
咱	stopword
咱们	stopword
则	stopword
则甚	stopword
贼死	stopword
怎	stopword
怎奈	stopword
眨眼	stopword
照	stopword
照着	stopword
者	stopword
这	stopword
这般	stopword
这边	stopword
这次	stopword
这儿	stopword
这个	stopword
这会儿	stopword
这就是说	stopword
这里	stopword
这么	stopword
这么点儿	stopword
这么些	stopword
这么样	stopword
这时	stopword
这些	stopword
这样	stopword
这一来	stopword
着	stopword
着呢	stopword
针对	stopword
正巧	stopword
正如	stopword
正是	stopword
正值	stopword
之	stopword
之类	stopword
之所以	stopword
之一	stopword
只	stopword
只当	stopword
只怕	stopword
只是	stopword
只限	stopword
只消	stopword
只要	stopword
只有	stopword
吱	stopword
直到	stopword
至	stopword
至今	stopword
至若	stopword
至于	stopword
致	stopword
诸	stopword
诸如	stopword
诸位	stopword
逐步	stopword
自	stopword
自从	stopword
自打	stopword
自后	stopword
综上所述	stopword
总的来看	stopword
总的来说	stopword
总的说来	stopword
总而言之	stopword
总之	stopword
纵	stopword
纵令	stopword
纵然	stopword
纵使	stopword
作为	stopword
